Designator,Footprint,Quantity,Value,LCSC Part #
10K1,1206,1,R,
D1,D_SMA,1,SS24,
J1,PinSocket_1x14_P2.54mm_Vertical,1,TFT,
"J10, J11",PinSocket_1x02_P2.54mm_Vertical,2,Vibr1,
J2,PinSocket_1x02_P2.54mm_Vertical,1,HW-373 OUT,
J3,PinSocket_1x07_P2.54mm_Vertical,1,FrontBtns,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Output,
J5,PinSocket_1x02_P2.54mm_Vertical,1,HW-373 B,
J6,PinSocket_1x03_P2.54mm_Vertical,1,Przetwornica,
J7,PinSocket_1x03_P2.54mm_Vertical,1,PosSwitch,
J8,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J9,PinSocket_1x07_P2.54mm_Vertical,1,audio,
Q1,TO-252-2,1,IRFR9020,
U1,XCVR_ESP32-S3-DEVKITC-1-N8R2,1,ESP32-S3-DEVKITC-1-N8R2,
